Volume,VWAP,Open,Close,High,Low,Timestamp,Transactions,Datetime
2881.0,260.2149,260.35,260.3,260.35,260.1,1704188280000,56,2024-01-02 09:38:00
679.0,260.2014,260.23,260.23,260.23,260.23,1704188340000,25,2024-01-02 09:39:00
174.0,260.0,260.0,260.0,260.0,260.0,1704189900000,2,2024-01-02 10:05:00
200.0,260.0,260.0,260.0,260.0,260.0,1704190080000,1,2024-01-02 10:08:00
2241.0,259.2437,259.21,259.1,259.35,259.1,1704190800000,53,2024-01-02 10:20:00
732.0,258.6031,258.5,258.5,258.5,258.5,1704190860000,31,2024-01-02 10:21:00
651.0,258.4109,258.52,258.35,258.52,258.35,1704190920000,15,2024-01-02 10:22:00
528.0,258.0961,258.15,258.11,258.15,258.11,1704190980000,15,2024-01-02 10:23:00
368.0,258.1451,258.2,258.05,258.2,258.05,1704191040000,9,2024-01-02 10:24:00
555.0,257.9242,258.0,258.0,258.0,258.0,1704191100000,23,2024-01-02 10:25:00
109.0,257.7704,257.77,257.77,257.77,257.77,1704192360000,2,2024-01-02 10:46:00
1035.0,257.4784,257.53,257.46,257.53,257.46,1704193260000,20,2024-01-02 11:01:00
313.0,256.568,256.5,256.5,256.5,256.5,1704194160000,14,2024-01-02 11:16:00
100.0,256.25,256.25,256.25,256.25,256.25,1704194940000,1,2024-01-02 11:29:00
323.0,256.3964,256.52,256.52,256.52,256.52,1704196080000,20,2024-01-02 11:48:00
1117.0,256.7336,256.73,256.7,256.9,256.7,1704196920000,22,2024-01-02 12:02:00
246.0,257.1085,257.1,257.1,257.1,257.1,1704197220000,8,2024-01-02 12:07:00
158.0,257.2322,257.25,257.25,257.25,257.25,1704197340000,4,2024-01-02 12:09:00
891.0,257.2513,257.25,257.25,257.25,257.25,1704197400000,14,2024-01-02 12:10:00
2143.0,257.1679,257.1,257.26,257.26,257.1,1704197460000,61,2024-01-02 12:11:00
2778.0,257.2031,257.17,257.2,257.25,257.17,1704197520000,78,2024-01-02 12:12:00
295.0,257.1532,257.15,257.15,257.15,257.15,1704197580000,11,2024-01-02 12:13:00
1396.0,257.0554,257.05,257.05,257.05,257.05,1704197640000,32,2024-01-02 12:14:00
1310.0,257.1271,257.16,257.11,257.16,257.11,1704198720000,35,2024-01-02 12:32:00
200.0,257.0803,257.08,257.08,257.08,257.08,1704199380000,2,2024-01-02 12:43:00
333.0,257.0805,257.08,257.08,257.08,257.08,1704199860000,5,2024-01-02 12:51:00
1818.0,257.0917,257.08,257.08,257.08,257.08,1704199920000,39,2024-01-02 12:52:00
959.0,257.0016,257.02,257.0,257.02,257.0,1704200040000,38,2024-01-02 12:54:00
7892.0,256.8953,256.51,257.19,257.35,256.1,1704200400000,146,2024-01-02 13:00:00
421.0,256.5942,256.5245,256.5245,256.5245,256.5245,1704200460000,18,2024-01-02 13:01:00
311.0,258.8886,257.0,257.0,257.0,257.0,1704200580000,15,2024-01-02 13:03:00
109.0,256.9818,257.0,257.0,257.0,257.0,1704200940000,3,2024-01-02 13:09:00
430.0,256.9174,256.91,256.95,256.95,256.91,1704201000000,13,2024-01-02 13:10:00
1336.0,256.8163,256.85,256.77,256.85,256.77,1704201180000,31,2024-01-02 13:13:00
113.0,256.5777,256.567,256.567,256.567,256.567,1704201300000,5,2024-01-02 13:15:00
335.0,256.7551,256.76,256.75,256.76,256.75,1704201780000,7,2024-01-02 13:23:00
654.0,256.9628,256.95,256.95,256.95,256.95,1704201960000,36,2024-01-02 13:26:00
1692.0,256.9383,256.9,257.02,257.02,256.9,1704202020000,73,2024-01-02 13:27:00
450.0,256.8994,256.91,256.91,256.91,256.91,1704202200000,17,2024-01-02 13:30:00
323.0,257.8903,256.8,256.8,256.8,256.8,1704202260000,9,2024-01-02 13:31:00
451.0,256.8955,256.9094,256.9094,256.9094,256.9094,1704202320000,5,2024-01-02 13:32:00
1211.0,257.0101,257.019,257.019,257.019,257.019,1704202380000,25,2024-01-02 13:33:00
1071.0,257.1833,257.19,257.19,257.19,257.19,1704202440000,33,2024-01-02 13:34:00
844.0,257.349,257.35,257.35,257.35,257.35,1704202500000,5,2024-01-02 13:35:00
200.0,257.15,257.15,257.15,257.15,257.15,1704202980000,1,2024-01-02 13:43:00
232.0,257.1478,257.15,257.15,257.15,257.15,1704203040000,6,2024-01-02 13:44:00
788.0,257.2769,257.298,257.298,257.298,257.298,1704203100000,26,2024-01-02 13:45:00
1020.0,256.9397,257.0,257.0,257.0,257.0,1704203280000,48,2024-01-02 13:48:00
1396.0,257.0998,256.97,257.35,257.35,256.97,1704203340000,45,2024-01-02 13:49:00
918.0,256.9938,256.98,257.0,257.0,256.98,1704203520000,20,2024-01-02 13:52:00
213.0,256.987,257.0,257.0,257.0,257.0,1704203580000,5,2024-01-02 13:53:00
1154.0,256.9948,257.0,256.9,257.0,256.9,1704203820000,37,2024-01-02 13:57:00
206.0,256.9891,257.0,257.0,257.0,257.0,1704203880000,6,2024-01-02 13:58:00
507.0,256.9987,257.0,257.0,257.0,257.0,1704203940000,5,2024-01-02 13:59:00
286.0,256.9924,257.0,257.0,257.0,257.0,1704204000000,12,2024-01-02 14:00:00
262.0,257.0155,257.01,257.01,257.01,257.01,1704204060000,7,2024-01-02 14:01:00
101.0,257.0402,257.04,257.04,257.04,257.04,1704204180000,2,2024-01-02 14:03:00
2067.0,257.0129,257.04,256.95,257.04,256.95,1704204240000,27,2024-01-02 14:04:00
432.0,256.835,256.86,256.8,256.86,256.8,1704204360000,18,2024-01-02 14:06:00
700.0,256.8106,256.8,256.8,256.8,256.8,1704204420000,32,2024-01-02 14:07:00
528.0,257.0178,257.01,257.01,257.01,257.01,1704204600000,6,2024-01-02 14:10:00
783.0,257.2846,257.49,257.26,257.49,257.25,1704204780000,15,2024-01-02 14:13:00
2742.0,257.2406,257.25,257.2,257.25,257.2,1704204900000,28,2024-01-02 14:15:00
489.0,257.3469,257.368,257.39,257.39,257.368,1704205020000,21,2024-01-02 14:17:00
497.0,256.9787,257.0,257.0,257.0,257.0,1704205260000,23,2024-01-02 14:21:00
664.0,256.827,256.9,256.69,256.9,256.69,1704205320000,19,2024-01-02 14:22:00
408.0,256.7416,256.81,256.701,256.81,256.701,1704205380000,9,2024-01-02 14:23:00
2708.0,256.9937,257.0,257.0,257.0,257.0,1704205500000,37,2024-01-02 14:25:00
620.0,256.9687,257.08,256.8,257.08,256.8,1704205560000,21,2024-01-02 14:26:00
115784.0,257.5388,257.28,257.84,258.27,257.28,1704205800000,1085,2024-01-02 14:30:00
42337.0,257.1231,257.84,257.675,257.84,256.57,1704205860000,851,2024-01-02 14:31:00
19100.0,257.9794,257.75,257.79,258.38,257.65,1704205920000,442,2024-01-02 14:32:00
22885.0,258.359,258.1288,258.2123,258.59,258.04,1704205980000,428,2024-01-02 14:33:00
22588.0,258.2883,258.2339,258.46,258.46,258.05,1704206040000,411,2024-01-02 14:34:00
15290.0,258.0167,258.3414,257.56,258.49,257.5177,1704206100000,312,2024-01-02 14:35:00
14136.0,257.6261,257.6084,257.5,257.77,257.5,1704206160000,316,2024-01-02 14:36:00
12020.0,257.4004,257.565,257.26,257.565,257.17,1704206220000,287,2024-01-02 14:37:00
14953.0,257.2271,257.25,257.32,257.4106,257.06,1704206280000,287,2024-01-02 14:38:00
