,category,datetime,headline,id,image,related,source,summary,url
166,company,1706552075,Boeing CEO Dave Calhoun is on the hot seat. Here are 3 concrete steps he must take to restore the company’s credibility,125384997,https://s.yimg.com/ny/api/res/1.2/GzZk6gNZ53tDjLRMdpSiOA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/fortune_175/d9468ff70bfaa83041faf659ff8600c9,BA,Yahoo,Getting the 737 MAX 9 back into the sky may have been the easy part.,https://finnhub.io/api/news?id=5de5d378eaaa2d2b8816e4d73336086a64562551ad0188fed22fd0e566debb19
167,company,1706550244,Factbox-How many variants of 737 MAX planes does Boeing make?,125384999,https://media.zenfs.com/en/reuters-finance.com/0fe7d74d9b972c3bd317fd638fbbd733,BA,Yahoo,"The FAA launched a formal investigation into the 737 MAX 9, grounding the planes for safety checks and tightening oversight of Boeing itself on Jan. 12, after the Alaska Air incident.  The single-aisle 737 MAX, launched in 2011, is Boeing's cash cow and investors keep a close watch on its production and deliveries.  Boeing handed over 387 MAX aircraft in 2023 and had unfulfilled orders for 4,783 MAX jets, according to its website.",https://finnhub.io/api/news?id=869b8b699b7849d23365f36ea36a9f2f51f11b06bf07a0145c1b517597682176
168,company,1706549404,"Lessor SMBC criticises planemakers for over-promising, under-delivering",125385000,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BA,Yahoo,"The head of aircraft leasing giant SMBC Aviation Capital criticised planemakers on Monday for over-promising and under-delivering on production, which he said suggests plane shortages would persist longer than manufacturers probably anticipate.  SMBC CEO Peter Barrett added that the fallout from the Jan. 5 Alaska Airlines incident is ""certainly"" going to make it a challenge for Boeing to manage production rates.",https://finnhub.io/api/news?id=6e34012b9463f5e515bf26eb2a25d809544dcace0c4510b18ca2fa1a75fd0fec
169,company,1706548567,News Highlights : Top Company News of the Day - Monday at 5 PM ET,125387697,,BA,Finnhub,"Amazon, iRobot Abandon Deal Amid Regulatory Scrutiny Amazon will pay Roomba maker a $94 million termination fee after the EU raised concerns that the tie-up would restrict competition in the...",https://finnhub.io/api/news?id=044c4c3b52cc034bebfb75ec2361dab869d9976595ae470f2235b138e62ceea8
170,company,1706546400,Boeing Co. stock outperforms competitors despite losses on the day,125479917,https://images.mktw.net/im-220105/social,BA,MarketWatch,"Shares of Boeing Co. slid 0.14% to $205.19 Monday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=45483b52995b80f30c54dffa16bc076a334744a8d33fcadd0ffdfcd95780e7cc
171,company,1706545111,Top aircraft lessor AerCap says Boeing may fall to 30% of narrowbody market,125378159,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BA,Yahoo,"The world's largest aircraft lessor AerCap on Monday warned that Boeing's share of the narrowbody passenger jet market looked set to fall to 30%, but said the U.S. manufacturer should never be written off.  ""It's probably tough to take in Seattle that they are probably heading towards 30% of the market on the narrows,"" AerCap Chief Executive Aengus Kelly, one of Boeing's biggest customers, told the Airline Economics conference in Dublin.  ""Betting against Boeing is betting against America and that has never been a winning trade for anyone so I would never write them off,"" he added.",https://finnhub.io/api/news?id=859f4a355052bdce93a58e86bb3b3760fe83320dfe26524507d11bbea6173cea
172,company,1706544189,Boeing incident gets worse: How airlines manage the fallout,125377843,https://s.yimg.com/ny/api/res/1.2/q7FQHUI9X1XtTDEjpjrO7w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzY-/https://s.yimg.com/os/creatr-uploaded-images/2024-01/0be43870-beb8-11ee-b97c-6c9ffebcb184,BA,Yahoo,"Federal inquiries into Boeing's (BA) 737 Max 9 jets following a mid-air incident on an Alaska Airlines (ALK) continue as, according to Wall Street Journal reporting, bolts needed to secure the aircraft's plug doors were missing as it left the factory. While the 737 Max 9 jets are no longer grounded, fallout over the incident continues as Boeing has halted expansion of production of the aircraft. Melius Research Director Connor Cunningham joins Yahoo Finance to discuss the fallout and how airlines like Spirit (SAVE), JetBlue (JBLU), and United (UAL) are seeking alternatives to Boeing. Cunningham elaborates on the airline's dilemma: ""This entire environment for the airlines is really been about capacity restraints overall. When you look at the Spirit and JetBlue transaction, very similar in the sense where JetBlue wanted additional lift and if you had to go to an OEM [Original Equipment Manufacturer] and order new planes, it's going to take a long period of time. So its about trying to figure out how you're going to grow in a really constrained environment."" For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live. Editor's note: This article was written by Nicholas Jacobino",https://finnhub.io/api/news?id=7724c8e00ec3ff601ce908bb039f2e95bd9e5b3f3914a5ddc6b8966c01ffdcd6
173,company,1706544050,"Boeing 737 Max 9 Flights Resume, Earnings Due; Did United Just Bail Out?",125378161,https://media.zenfs.com/en/ibd.com/d4bcc21f213dc5d630849e9499b69692,BA,Yahoo,Boeing stock eased ahead of Q4 results Wednesday as Alaska Airlines resumes 737 Max 9 flights. United Airlines seeks Airbus deal.,https://finnhub.io/api/news?id=ffdab3ae9ef69e65f33339610e6aa50fd3d31cf05b3e5ee15c0a25666160d29a
174,company,1706541480,United (UAL) Resumes Boeing 737 MAX 9 Flights Post FAA Nod,125379177,https://media.zenfs.com/en/zacks.com/fe3d5cf0585af2a348afd880076d36f4,BA,Yahoo,United Airlines (UAL) restarts flying Boeing 737 MAX 9 jets after a temporary grounding for inspection.,https://finnhub.io/api/news?id=b19891921aad856de213c7d1efa6d34873115bc5d187fdaa7abbc7727063f0a4
175,company,1706540346,Ryanair CFO Has Confidence in Boeing to Deliver 737 Max,125378162,https://s.yimg.com/ny/api/res/1.2/wpA1SDjrR5pM3m_rcIzNWQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/bloomberg_markets_video_2/8a99183819e000f8550b0ebcfe37f54a,BA,Yahoo,Ryanair CFO Neil Sorahan discusses expected deliveries of Boeing Inc. planes and the airline's confidence in and support of Boeing aircraft.,https://finnhub.io/api/news?id=29be050521101efd327d8f61ec38bb911013a2e8be5ae6fcecde2d62a05de489
176,company,1706539500,Boeing’s 737 MAX 9 Is Back in Service. The Crisis Is Far From Over.,125377844,https://s.yimg.com/ny/api/res/1.2/94XxjyNpA3x2hJvmUbH20g--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/Barrons.com/e33c1ea8fc82ef3f18c356178d40a051,BA,Yahoo,"Alaska and United Airlines are both flying the 737 MAX 9 again, about three weeks after an emergency door plug blew out of an Alaska flight midair.",https://finnhub.io/api/news?id=8d2998b3bf78c4060d507f6fa45b09f40a1a284cd6c7f47f94e36e9965c058c9
177,company,1706532838,Ryanair Offers to Take Boeing 737 Max Jets if United Airlines Cancels Orders,125374126,https://s.yimg.com/ny/api/res/1.2/Es9nPdb0HWyIGpO3hlQkwQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/wsj.com/42c5f4339c330f077349d42b0189eddb,BA,Yahoo,"European discount airline Ryanair says it would be happy to take any Boeing 737 Max Jets if United Airlines delays or cancels its orders for the beleaguered aircraft.  United executives [said last week](https://www.wsj.com/livecoverage/stock-market-today-dow-jones-earnings-01-23-2024/card/united-says-it-can-t-count-on-boeing-737-max-10-jets-LRretfZ7OjUvXUZQylxd) the company was rethinking its plans for Boeing's 737 MAX 10 jets since the grounding of the MAX 9, a smaller version, after a midair [blowout on an Alaska Airlines flight](https://www.wsj.com/business/airlines/signs-suggest-alaska-airlines-plane-lacked-bolts-when-it-left-boeing-factory-f0246654).  ""If United don't want to take them, Ryanair certainly will,"" Michael O'Leary, CEO of the Dublin-based airline, said at an investor presentation Monday for its quarterly results.",https://finnhub.io/api/news?id=a9b165691437f1384682f8b639d080d698853551c75faf64c6877dac6490634a
178,company,1706537724,UPDATE 2-Financiers grapple with plane shortages amid Boeing MAX crisis,125378165,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BA,Yahoo,"Airlines face years of plane shortages, driving up costs and setting the stage for higher fares, as increased oversight in the wake of a Boeing 737 MAX 9 cabin blowout exacerbates delays caused by weak supply chains, industry officials said.  The warning came as aircraft lessors, bankers and airlines met in Dublin - home to a booming global air finance sector - for the first time since the Alaska Airlines incident on Jan. 5 led to a partial grounding and pushed Boeing into a new safety crisis.  ""Demand is more or less a slam dunk; the question is when does the supply catch up?"" Rob Morris, head of global consultancy at Ascend by Cirium, told Reuters as delegates gathered for the week-long Airline Economics conference.",https://finnhub.io/api/news?id=1c12ba1bc9cb9ac24d0275388aa24319ae7fab6bb68628b09a6eb4fff00f54a5
